fiber,category,FA,MD,AD,RD,ISOVF,ICVF,ODI
af_l,association,0.003696675,0.118320434,0.141262543,0.093079147,0.029859391,0.100656913,0.00186897
af_r,association,6.16E-06,0.142493476,0.199843501,0.091460125,0.07204267,0.095678692,0.010835221
cbd_l,limbic,1.99E-05,0.119956082,0.13316001,0.097481948,0.061837941,0.083279678,0.029901128
cbd_r,limbic,0.004516006,0.10988435,0.116892023,0.088345834,0.016347359,0.068190768,0.05191905
ac_l,commissure,0.075001566,0.180368148,0.085820574,0.173112205,0.030812912,0.181690588,0.011502711
ac_r,commissure,0.097234946,0.219128711,0.160604492,0.200938689,0.038512112,0.178679853,0.015612638
ar_l,projection,0.012189116,0.093665665,0.087050771,0.070712039,0.000190492,0.058283978,0.014253574
ar_r,projection,0.002429647,0.132999792,0.19175418,0.056850845,0.013823052,0.090908552,0.02698236
atr_l,projection,0.042655427,0.179775145,0.152818401,0.156168199,0.034484274,0.151126701,0.000420288
atr_r,projection,0.01318692,0.191742654,0.188306441,0.169745639,0.014819883,0.130076254,0.019822361
cbp_l,limbic,0.092470079,0.063855105,0.060402945,0.055512157,0.001869288,0.040511542,0.013096096
cbp_r,limbic,0.028435219,0.054195658,0.051927288,0.04796691,0.026102615,0.015092669,0.000994263
cbt_l,limbic,0.006694566,0.021945528,0.063372574,0.007872843,0.009578381,0.013811718,0.042981623
cbt_r,limbic,0.00682749,0.013866502,0.080747986,0.003859929,0.006494095,0.011725067,0.034875124
cst_l,projection,0.001222506,0.037016963,0.071690939,0.021470769,0.024551728,0.047340736,0.00755081
cst_r,projection,0.005860625,0.032272841,0.099513833,0.008407173,0.002533049,0.089716957,0.105525281
fa_l,association,0.005780338,0.078120469,0.056517215,0.082393502,0.000146068,0.05886299,0.000582445
fa_r,association,0.00970525,0.154897699,0.137403136,0.152621071,0.011152052,0.124426605,0.01773146
fma,commissure,0.002395065,0.077236355,0.037287682,0.033273376,4.78E-05,0.049645764,0.008601941
fmi,commissure,0.023314681,0.12538143,0.100158119,0.119826221,0.018741735,0.096160335,0.009146735
fx_l,limbic,0.001555668,0.033916261,0.050216776,0.020592832,0.00173653,0.020753142,0.043540578
fx_r,limbic,0.010066635,0.127305674,0.117194933,0.081702614,0.090361841,0.071787765,0.00660363
mcp,commissure,0.019774429,0.033311054,0.085009967,0.008438221,0.069514028,0.008102994,0.11144051
mdlf_l,association,0.02364993,0.111357375,0.054360139,0.093448103,0.051264626,0.05790194,0.054677744
mdlf_r,association,0.001384314,0.100813413,0.137341318,0.065666566,0.049357195,0.037820038,0.003094616
or_l,projection,0.001423435,0.004935125,0.007641275,0.001923145,0.007342118,0.000715112,0.00084932
or_r,projection,0.002864168,0.009569274,0.019874922,0.001717636,0.000326471,8.17E-06,0.002365176
ptr_l,projection,0.008687912,0.029168128,0.009815992,0.027787968,0.002168977,0.014560016,0.017719623
ptr_r,projection,0.001017098,0.046216314,0.03869708,0.02707053,0.003310721,0.008907641,0.006195574
slf1_l,association,0.008144503,0.058863179,0.089892433,0.038205948,0.009458881,0.038356615,0.041080375
slf1_r,association,0.046259381,0.121179772,0.218125849,0.04989755,0.030720649,0.108299255,0.092413128
slf2_l,association,0.003920904,0.120179515,0.186749658,0.067098038,0.03670918,0.116000258,0.054629257
slf2_r,association,0.039987289,0.068433391,0.121662663,0.03168461,0.036954823,0.07650079,0.062993749
slf3_l,association,0.007276604,0.086719007,0.083059139,0.07862344,0.043574258,0.091265061,8.40E-05
slf3_r,association,0.078206623,0.04927627,0.076845482,0.032581052,3.97E-05,0.015392922,0.02485922
str_l,projection,0.000480391,0.021387294,0.08513081,0.009121965,0.006916713,0.061619401,0.003285815
str_r,projection,0.000139656,0.07060887,0.114946184,0.045466474,0.001796839,0.041758483,0.01478058
unc_l,association,0.096427547,0.085967834,0.026318469,0.119938721,0.00013879,0.082367615,0.012891169
unc_r,association,0.023767283,0.063347439,0.046689795,0.068176232,0.000887649,0.055521188,0.000355478
vof_l,association,0.012548411,0.102180112,0.064885613,0.078862739,0.03338232,0.069458577,0.012883604
vof_r,association,0.00263396,0.066272223,0.084773749,0.038881833,0.006857812,0.043412637,0.006757167
ifo_l,association,0.00086864,0.062759068,0.054519612,0.049111596,0.010137581,0.035199397,0.003966782
ifo_r,association,0.036121708,0.186346345,0.120558614,0.166569186,0.015394154,0.096864055,0.001236675
ilf_l,association,0.00667232,0.087926914,0.08769897,0.068396966,0.021748851,0.086988944,0.000346515
ilf_r,association,0.03769746,0.065367145,0.082037544,0.039251166,0.014504297,0.052388843,0.053047332
